@relation CE802_Ass_2017_Data

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute C {True,False}

@data
-1.54,-2.93,-1.57,-2.96,-2.32,5,165,5.9,-70,1.3,9.3,8.9,10,75,True
6.31,3.17,2.48,2.52,2.09,2,63,1.03,-14,3.1,0.91,0.71,1,6,True
2.7,2.52,4.68,3.31,2.46,4,12,1.55,12,2.71,0.36,0.74,1,14,True
-3.09,-1.68,-2.83,-1.92,-2.96,5,350,6.45,-10,2.73,7.9,9.55,10,30,False
-0.83,-1.99,-1.4,0.73,-1.43,15,305,12.9,50,-0.35,6.2,6.75,10,30,False
2.91,4.22,2.5,2.92,3.89,4,58,1.7,17,0.41,0.54,0.28,1,4,False
-0.88,-1.17,0.03,-1.22,-0.79,5,130,10.65,-60,0.04,5.45,8.35,10,75,False
7.06,2.45,2.75,2.68,5.22,4,11,0.7,18,0.79,0.48,0.88,1,6,True
3.48,2.37,4.82,6.2,4.3,2,6,1.68,-10,1.45,0.77,0.85,1,10,True
-1.66,-1.4,-1.41,-1.47,0.48,15,40,8.4,-95,-0.27,6.7,8.5,10,60,True
2.7,3.21,3.94,3.73,3.73,2,7,1.55,16,2.24,0.39,0.43,1,8,True
2.48,2.61,3.05,2.97,3.4,2,21,1.08,-12,1.57,0.74,0.18,1,4,False
-2.29,-0.52,0.05,-2.61,-2.34,15,180,8.25,15,0.33,6.15,9.6,10,15,True
2.29,3.37,2.41,2.39,2.4,4,28,0.54,11,1.98,0.78,0.61,1,10,False
-2.67,-2.18,-2.55,-2.24,-1.5,5,75,8.75,-10,-0.34,7.95,7.15,10,25,True
4.18,6.36,3.38,5.02,2.39,3,0,0.31,9,1.24,0.96,0.06,1,7,False
2.79,2.7,2.83,4.09,2.84,2,12,1.9,9,1.45,0.09,0.09,1,6,False
4.67,2.76,2.38,3.45,3.22,2,4,1.22,-20,1.16,0.69,0.48,1,2,True
-1.65,-1.08,-1.99,-1.6,-1.76,15,355,8.1,-5,1.82,5.25,8.65,10,30,False
-2.07,-2.28,-2.67,-2.35,-2.37,5,245,14.7,-70,1.9,7.2,8.85,10,50,True
4.2,3.46,4.12,2.77,4.15,2,57,1.67,15,0.54,0.72,0.73,1,5,True
2.68,2.54,2.74,2.86,2.96,4,17,1.23,19,1.96,0.45,0.32,1,13,False
0.55,3.74,-1.33,-1.74,-1.62,15,185,12.8,-5,-0.58,5.05,9.9,10,65,False
-1.21,-2.2,-2.67,-2.69,-1.19,15,290,10.4,-95,2.29,6.5,9.1,10,30,False
-2.63,-3.28,-2.84,-2.96,-2.99,15,285,5.35,-65,1.17,9.15,9.6,10,0,True
-0.95,-2.36,-2.44,-1.56,-2.15,15,295,10.75,-5,0.87,7.25,6.3,10,25,True
-2.47,0.3,-2.69,-1.27,-2.59,15,270,8.4,0,2.08,9.35,6.15,10,70,True
4.1,2.92,2.71,2.71,3.12,4,23,0.89,9,1.72,0.55,0.98,1,7,True
-2.24,-2.94,-2.52,-1.93,-1.67,15,325,8.65,-10,0.78,9.45,6.5,10,40,True
3.14,2.95,2.73,2.47,5.4,4,66,1.99,5,1.29,0.81,0.22,1,10,False
-1,-1.41,-2.26,-0,-0.09,5,205,13.5,-60,1.05,7.1,5.6,10,15,False
3.32,3.1,2.29,3.16,3.88,2,3,0.79,13,0.37,0.52,0.69,1,2,True
-2.19,3,-1.78,-2.32,-2.49,5,270,15,-80,3.46,7.3,6.35,10,25,False
-1.56,0.3,-1.32,-1.54,-0.25,15,265,8.25,0,4.09,7.3,5.1,10,60,False
2.92,3.09,2.58,2.84,2.57,4,53,0.87,10,3.3,0.92,0.6,1,8,True
2.87,2.55,3.68,2.57,2.12,2,67,2.14,11,0.56,0.8,0.79,1,2,True
2.26,4.05,3.68,3.29,3.46,2,6,0.43,18,1.03,0.89,0.47,1,3,True
2.59,3.93,3.05,2.53,2.41,0,26,1.83,-20,1.63,0.87,0.55,1,9,True
-1.71,-0.65,-0.41,-1.68,0.22,15,330,15,95,0.98,6.75,5.1,10,35,False
-2.22,-1.26,0.84,-1.28,-2.15,5,175,12.95,-20,0.57,6.85,7.9,10,35,True
4.1,2.49,4.05,4.4,3.84,2,7,0.79,2,2.93,0.61,0.78,1,2,True
2.89,4.74,2.64,2.64,2.32,2,60,1.61,6,1.41,0.91,0.4,1,3,True
-0.73,-1.18,0.34,-0.47,-1.07,15,205,6.3,40,0.02,7.2,6,10,70,False
4.34,2.49,3.24,4.03,3.02,4,29,1,17,1.18,0.52,0.72,1,13,False
-1.22,0.4,-0.65,3.33,-1.4,15,85,6.9,-55,2.76,5.35,7.8,10,55,False
-2.19,-2.28,-2.3,-2.26,-1.64,15,35,6.85,-60,-0.4,7.5,6.9,10,55,True
0.09,-2.41,-2.14,-1.12,-2.28,15,235,6.55,-85,1.06,6.6,7,10,20,False
3.04,8.27,3.29,2.82,3.19,4,37,1.22,13,5.2,0.89,0.7,1,7,True
3.18,3.75,5.3,3.01,3.91,4,13,0.09,16,0.68,0.56,0.77,1,6,False
-1.96,-1.97,-0.27,-2.32,0.98,25,260,7.6,70,-0.59,5.9,9.1,10,20,True
0.54,0.37,-0.49,0.25,-0.48,15,20,9.8,-5,-0.96,5.25,6.15,10,50,False
-0.61,-2.61,-0.81,-2.58,-0.98,5,310,8.75,-70,1.48,8.55,5.8,10,30,False
3.09,4.25,2.49,6.45,3.32,0,51,1.97,-5,3.44,0.79,0.53,1,14,True
2.99,2.54,3.39,3.31,3.09,2,40,1.89,-9,1.38,0.65,0.21,1,11,False
-0.89,-0.32,2.08,0.42,-1.66,15,140,11.9,-70,-0.58,6.05,6.85,10,40,False
2.86,4.23,2.65,8.32,5.29,2,26,0.99,12,3.3,0.56,0.79,1,11,False
2.8,3.15,2.53,2.64,1.97,3,2,0.89,0,5.24,0.99,0.86,1,2,True
2.96,3.28,3.3,3.09,3.64,2,26,0.83,-20,1.68,0.62,0.76,1,15,True
2.3,4.37,5.28,3.27,2.88,4,55,0.34,20,2.08,0.65,0.67,1,7,False
-2.81,-1.36,-2.95,-2.92,-2.29,5,80,6.4,-80,0.62,9.05,5.55,10,5,True
0.57,-1.41,1.63,-1.21,-0.17,15,240,8.75,-40,1.39,7.5,5.75,10,50,False
3.21,3.01,2.36,2.36,2.74,2,3,1.23,4,1.15,0.74,0.47,1,12,False
4.67,2.49,2.83,2.41,3.17,2,9,0.57,-5,5.48,0.7,0.19,1,1,False
-0.47,-1.38,-0.03,-1.16,-1.32,15,375,14.4,-65,1.34,5.6,7.25,10,55,False
-0.94,0.15,-1.57,2.63,-0.38,15,150,6.7,50,-0.82,7,5.2,10,30,False
-2.02,-1.74,0.78,-2.01,0.83,15,265,5.05,15,0.9,8.75,7.05,10,70,False
0.07,-0.6,-1.24,-1.53,-1.41,25,360,5.4,10,0.89,4.8,8,10,30,False
-1.26,-2.78,-2.36,-0.27,0.99,25,355,9.15,65,2.62,9.55,5.95,10,50,True
0.03,-0.28,0.49,-1.32,0.63,15,40,9.7,-20,-0.37,6.25,7.1,10,75,False
-2.31,-2.02,-2.15,-2.19,-2.44,5,220,13.25,-55,0.4,7.15,9.35,10,80,True
-1.41,-2.18,-0.32,-1.5,-2.05,15,270,13.5,95,0.96,5.6,8.2,10,20,False
0.29,-1.03,-0.18,0.4,-2.27,5,110,7.15,-50,0.48,6.9,6.3,10,20,False
-2.28,-1.15,-1.89,-0.35,-1.75,15,310,7.3,-55,1.04,8.8,5.95,10,85,False
3.23,2.79,2.21,3.25,2.81,2,50,0.52,10,0.69,0.83,0.88,1,5,True
5.09,2.63,3.38,2.58,4.62,4,26,2.02,4,0.8,0.21,0.8,1,8,False
-0.54,-1.61,-1.53,-1.8,-1.82,15,335,13.9,100,-0.82,5.25,7.8,10,30,False
3.9,2.65,2.69,3.2,2.26,4,43,0.61,10,1.96,0.99,0.65,1,15,True
-2.27,-2.11,-2.94,-3.02,-1.82,15,160,7.55,-5,0.63,6.8,10.75,10,20,True
3.7,2.63,3.19,2.68,2.25,2,32,0.14,18,0.8,0.57,0.6,1,2,False
-1.51,-1.68,-1.73,-1.68,-1.11,25,335,7.6,70,0.43,7.5,5.95,10,65,False
-0.61,0.1,1.65,1.75,-0.53,15,85,11.3,-15,-0.65,5.3,7.1,10,75,False
-1.8,3.77,-2.11,-1.55,-1.33,15,30,7.1,-25,-0.54,7.15,5.5,10,25,True
6.25,3.24,6.7,2.6,3.11,4,2,0.14,19,1.27,0.2,0.89,1,11,False
1.5,0.28,0.57,0.67,-0.6,15,235,6.9,25,-0.05,6,6.05,10,70,False
-1.89,2.16,-0.21,-0.22,-1.45,15,220,13.9,-65,-0.57,7.95,6.1,10,85,False
2.12,2.49,4.39,3.77,4.08,2,5,0.99,4,0.57,0.84,0.73,1,6,True
4.42,2.98,2.69,2.64,5.37,4,6,0.43,18,0.87,0.78,0.51,0,12,True
-2.43,-2.14,0.16,-1.11,-0.71,5,200,11.25,-90,0.79,9.4,5.4,10,75,False
0.63,2.23,1.83,1.27,2.07,20,40,7.4,5,0.32,5.25,5.95,10,80,False
-0.85,-0.56,2.11,0.54,3.48,15,275,7.9,-20,0.73,7.05,5.1,10,65,False
1.95,-2.83,-0.76,-2.8,-0.28,5,365,9.45,-15,1.18,8.75,5.7,10,30,False
-2.15,-1.99,-2.35,-0.49,-1.76,15,165,7.65,-20,1.79,8.95,5.2,10,70,True
2.29,2.27,3.02,2.54,2.49,2,42,0.14,4,0.89,0.9,0.83,1,7,True
-0.95,-1.02,-1.2,1.65,-0.76,25,360,5.1,20,0.61,5.75,7.15,10,65,False
-0.33,0.25,-0.1,4.11,2.25,15,335,13.45,-25,5.74,5.3,5.7,10,60,False
3.65,3.47,2.13,2.47,2.44,2,57,1.38,8,0.87,0.9,0.51,1,0,True
-1.43,0.95,2.54,-1.58,0.22,15,365,7.3,90,2.32,6.05,9.75,10,80,False
-1.13,-2.59,-2.93,-2.27,-1.29,5,255,8.45,-45,1.29,9.3,5.7,10,10,True
-0.67,-0.37,-0.76,1.82,-0.81,15,55,9.65,35,-0.96,5.25,6.55,10,45,False
0.36,-1.93,1.21,-0.66,-2.33,15,325,5.45,60,1.13,5.95,8.4,10,25,False
2.6,6.05,4.84,2.58,2.95,2,4,0.86,15,0.46,0.77,0.36,1,10,False
-0.95,-1.23,-0.17,1.16,-1.13,25,325,10.7,60,-0.17,7.25,5.3,10,80,False
4.81,2.36,3.24,2.75,3.37,2,6,0.33,-16,1.84,0.98,0.72,1,1,True
-0.92,1.69,-0.73,-0.07,-1.88,25,220,5.75,105,0.27,7,7.55,10,55,True
3.23,3.17,3.52,2.89,3.76,4,35,1.38,11,2.57,0.64,0.48,1,9,False
2.71,2.11,2.38,2.98,2.42,0,9,0.08,-15,1.32,0.95,1.01,1,11,True
-0.37,-1.92,-2.04,-1.24,0.14,5,190,7.95,-10,0.98,7.25,6.75,10,50,False
-2.02,-1.91,-2.75,-2.17,-2.37,15,380,5.65,40,1.18,8.7,9.2,10,50,True
0.85,1,-2.27,-2.19,-1.8,5,105,12.5,-50,-0.31,5.5,9.05,10,15,True
6.59,2.73,3.91,4.61,2.59,2,28,1.92,-19,0.69,0.39,1.1,1,4,True
0.64,-1.38,-1.71,-0.92,-1.43,5,200,5.75,-5,1.66,7,5.1,10,40,False
-1.05,0.07,-2.18,-1.25,-1.14,5,325,13.35,-60,3.62,7.8,7.2,10,75,False
-2.34,-1.4,0.17,-1.91,-0.25,5,85,6.75,-65,3.91,6.4,7.3,10,25,False
-1.71,0.47,-2.38,-2.08,-2.61,15,240,6.8,-95,2.86,9.45,6.3,10,60,False
-0.46,-1,-1.17,0.77,0.8,5,75,6.4,-85,1.57,5.9,6.4,10,55,False
-0.79,1.17,-0.27,-1.92,-0.91,5,240,7.3,-55,4.88,6.35,9.2,10,75,False
-2.23,-2.51,-2.52,-0.66,-1.97,5,245,10.9,-20,1.31,9.3,5.1,10,30,True
-1.53,-3.16,-0.26,-1.64,-2.03,5,115,8.15,-40,3.33,9.8,7.35,10,55,True
0.12,-0.44,-0.26,-1.28,0.07,15,265,9.7,90,-0.84,5.45,5.6,10,10,False
2.96,2.2,4.31,3.5,5.12,2,27,0.66,-8,0.82,0.78,0.62,1,7,True
7.04,2.89,2.78,2.37,3.32,4,57,0.61,6,0.77,0.85,0.47,1,7,True
3.77,5.2,2.87,7.78,2.19,4,26,1.88,11,1.08,0.81,0.74,1,10,True
-2.73,-1.02,-2.07,-2.01,-2.32,15,70,5.7,20,1.57,6.45,9.9,10,40,True
-1.11,-2.05,-0.62,-2.14,-1.93,15,175,9.6,-75,0.84,5.35,8.45,10,15,False
4.78,5.6,2.86,2.74,3.6,3,0,2.04,9,0.79,0.34,0.71,1,5,True
1.84,0.91,1.04,0.36,0.41,25,145,11.2,70,-0.44,5.2,5.4,10,75,False
2.47,5.18,3.03,4.45,4.77,2,31,1.43,-9,0.82,0.5,0.5,1,13,False
-3.12,-2.62,-3.33,-3.02,-0.76,15,240,7.35,-45,0.56,9.85,7.5,10,15,True
0.85,-1.99,-0.68,-2.02,-0.53,5,15,11.75,-40,2.75,6.2,8.3,10,55,True
2.34,2.24,2.6,3.09,4.08,4,16,1.24,13,1.09,0.65,0.67,1,6,True
3.4,2.41,4.55,2.91,3.01,2,10,0.96,4,2.13,0.57,0.37,1,10,False
1.41,0.86,0.2,2.14,-0.21,15,165,10.35,-90,3.4,5.3,5.4,10,45,False
2.24,3.42,4.3,2.44,2.52,2,26,0.57,10,1.24,0.97,0.27,1,7,True
-2.8,-1.28,0.61,-2.04,-2.74,5,70,8.1,-30,-0.26,9.9,5.6,10,30,True
3.67,3.65,2.62,3.03,3.45,4,16,1.37,6,1.43,0.48,0.7,1,13,False
3.5,4.39,2.7,4.38,2.48,4,19,1.28,4,0.33,0.4,0.83,1,13,False
2.7,4.31,2.98,4.48,3.28,4,9,1.14,18,1.75,0.25,0.17,1,10,False
3.81,4.07,3.97,3.83,4.72,2,63,1.79,7,4.36,0.9,0.44,1,15,False
-0.8,-1.25,-0.54,-0.86,-1.16,15,300,5.35,15,1.15,6.1,6.5,10,50,False
0.34,-2.26,-1.17,-2.29,-1.22,15,75,8.2,-45,-0.69,6.05,8.3,10,15,True
3.36,10.02,3.07,3.14,3.03,0,6,2,-4,1.14,0.71,0.95,1,6,True
0.13,2.03,-1.92,-2.55,-1.22,15,140,8.6,10,0.9,8.55,5.45,10,45,True
2.91,3.04,2.87,5.7,3.1,4,6,2.11,15,3.96,0.15,0.79,1,13,True
-0.29,-0.82,-0.61,1.42,-0.32,15,195,10.95,-100,0.45,5.6,7.75,10,80,False
-3.01,-2.77,-2.27,-1.47,-2.46,5,310,9.35,-40,1.22,8.45,9.6,10,70,True
2.78,4.1,2.79,2.82,2.56,2,10,1.6,-4,0.47,-0,0.72,1,2,False
4.65,3.34,2.68,5.36,2.36,2,55,1.21,4,0.88,0.99,0.69,1,11,True
2.7,2.48,2.77,2.59,3.37,2,10,0.75,8,1.29,0.58,0.07,1,2,False
3.73,2.59,2.94,2.45,3.32,2,3,1.02,2,0.9,0.16,0.75,1,5,False
0.05,0.31,-0.97,-2.11,-0.97,15,260,7.65,20,1.82,9.25,5.2,10,60,True
3.04,3.56,5.92,7.68,2.76,2,12,2.09,4,1.83,0.54,0.26,1,6,False
-0.55,3.09,1.3,1.9,-0.65,5,70,14.1,-25,-0.49,5.35,5.05,10,20,False
0.32,-2,-1.9,-1.98,-1.48,5,245,7,0,2.62,5.25,8.65,10,10,False
3.57,3.61,3.72,3.07,2.73,4,60,1.43,13,1.07,0.49,0.19,1,2,False
2.68,4.01,2.3,2.52,2.13,0,66,1.42,-3,1.6,0.89,0.47,1,3,True
-1.14,-1.26,0.1,-0.96,0.08,25,355,12.05,100,-0.84,5.65,7.05,10,30,False
7.6,2.05,3.27,3.54,4.29,2,9,0.16,-4,2.12,1.01,1.01,1,12,True
-0.47,-0.82,-0.72,-1.59,1.05,15,240,11.25,-55,-0.14,7.35,7.25,10,80,False
2.89,2.39,3.27,2.66,3.51,4,32,1.93,2,0.61,0.57,0.38,1,2,False
-1.87,2.21,-1.11,-2,-1.6,15,225,13.3,-60,-0.01,6.75,6.95,10,35,True
4.38,3.67,2.65,2.88,5.9,4,10,1.82,20,0.32,0.8,0.12,1,7,True
2.92,3.29,3.77,7.48,5.64,2,9,1.38,19,1.53,0.59,0.11,1,14,False
4.07,3.97,2.41,3.65,2.91,4,35,1.33,9,0.89,0.74,0.59,1,16,False
4.45,2.66,2.24,3.25,5.1,2,16,1,12,2.75,0.95,0.53,1,10,True
-0.51,-0.13,-0.63,0.08,0.47,15,260,9.5,35,0.99,5.5,5.6,10,50,False
-0.66,0.78,0.56,-0.36,0.18,25,150,7.05,80,0.44,5.75,6.05,10,65,False
2.76,4.34,3.09,3.71,2.36,0,38,1.45,-19,2.06,0.61,0.93,1,4,True
4.29,2.95,2.14,2.15,2.48,0,73,1.31,-14,1.58,0.97,0.87,1,6,True
-1.97,0.72,-0.48,-0.93,-0.69,25,330,9.95,80,0.31,5.55,8.3,10,40,False
2.45,2.86,4.1,3.01,3.67,3,0,1.99,19,2.53,0.29,0.95,1,9,True
-0.67,-1.81,-1.85,0.1,-2.23,5,225,5.4,-75,1.24,7.05,6.9,10,45,False
-2.64,-1.92,-1.61,-2.31,0.25,5,185,7.7,-5,0.35,7.5,7.3,10,30,True
3.69,2.43,3.44,2.55,3.69,4,56,0.65,15,1.23,0.78,0.51,1,8,False
5.31,2.93,4.25,3.57,5.14,4,52,1.57,9,0.81,0.95,0.03,1,8,False
3.8,2.53,2.46,2.62,2.99,4,3,0.44,13,0.65,0.81,0.1,1,13,False
1.15,-0.89,-0.31,-0.97,-1.23,15,140,5.75,70,-0.58,6.6,6.55,10,75,False
-0.94,0.52,-0.57,-0.05,-0.95,15,25,6.85,45,-0.89,5.35,6.9,10,40,False
2.43,8.36,3.91,2.71,2.4,4,8,1.17,19,0.52,0.65,0.67,1,15,True
2.31,5.93,3.19,2.42,3.41,4,56,0.96,3,0.67,0.86,0.65,1,11,True
-1.41,1.63,-0.25,-1.71,-1.4,25,310,13.45,30,0.62,4.85,8.05,10,25,False
3.14,3.15,3.15,2.58,2.88,4,66,1.12,3,3.68,0.56,0.98,1,13,True
3.36,2.25,2.35,2.17,3.53,2,7,0.17,9,0.76,0.89,0.73,1,10,True
3.41,2.45,2.89,3.17,4.94,4,14,0.29,13,1.12,0.87,0.23,1,15,False
-1.27,-2.1,-2.63,-2.76,-2.83,5,255,6,-35,1.72,7.55,9,10,25,False
2.35,2.82,6.23,6.09,2.97,0,33,1.66,-8,2.74,0.53,0.7,1,2,True
-2.03,-2.41,-2.63,-2.45,-0.99,5,285,7.15,-85,5.42,7.05,9.55,10,50,False
-1.64,-0.77,-1.66,-2,-0.59,5,315,9.15,-55,2.14,6.1,9.75,10,80,False
-1.73,-1.97,-1.87,-0.88,-2.28,15,265,12.55,-15,0.47,8.4,6.9,10,60,True
3.04,3.2,3.93,2.69,2.45,4,24,2.01,7,1.07,0.46,0.6,1,10,True
-2.55,-2.04,-2.36,-0.81,-0.52,5,255,14.8,-80,0.49,6.3,9.4,10,15,True
2.81,-0.57,-0.06,-0.84,-1.63,15,135,12.25,-55,3.14,6,7.15,10,45,False
5.94,3.93,3.45,3.13,3.89,2,5,1.02,19,1.07,0.2,0.43,1,1,False
4.69,4.86,3.55,2.9,2.62,2,30,0.84,3,2.45,0.86,0.69,1,16,False
-1,3.31,1.3,-1.72,-0.23,15,105,5.7,10,-0.38,7.2,6.1,10,65,False
-1.74,-2.16,-1.58,-2.45,-0.79,15,210,8.4,60,-0.38,7.1,8.1,10,30,True
2.51,2.9,2.41,3.19,2.46,2,37,0.78,1,2.46,0.55,0.86,1,11,False
1.55,-1.63,-1.55,1.12,-1.73,15,135,9.55,-5,-0.89,7.4,5.5,10,65,False
-2.17,-1.95,0.56,-1.05,-2.19,25,360,7.05,25,2.57,8.3,5.85,10,60,False
2.56,2.75,5.99,4.44,4.25,0,17,1.59,-16,3.65,0.45,0.92,1,8,False
-1.98,-0.63,-2.36,-1.98,-1.62,10,260,8.75,5,0.22,7.95,7.85,10,70,True
4.87,2.92,2.61,2.62,2.31,2,57,1.29,16,0.95,0.73,0.75,1,5,True
0.55,-0.65,1.59,2.3,-1.18,15,95,11.95,-85,-0.58,5.65,8.35,10,75,False
-1.12,0.25,-0.8,0.63,-0.19,15,145,14.3,-45,0.11,6.15,6.35,10,65,False
-1.65,-0.95,-0.78,-1.46,-1.02,25,65,6.35,100,-0.47,6.2,6.8,10,40,False
-1.46,-1.43,1.07,-0.62,-1.21,25,130,7.6,40,-1,5.7,5.7,10,5,False
-1.89,-0.66,-1.8,0.12,-0.77,5,35,7.85,-15,-0.45,6.55,5.2,10,10,False
4.82,2.44,3.05,4.23,3.24,0,29,1.85,-2,1.43,0.81,0.26,1,5,False
-1.57,-2.56,1.36,-0.59,-2.39,15,270,11.8,-25,0.65,7,7.55,10,10,True
0.84,-1.6,-1.46,-0.99,-1.7,25,310,11.5,40,-0.32,7.15,8.05,10,80,True
-1.68,-1.58,3.49,-2,-0.48,5,60,12.85,-95,0.02,5.25,7.45,10,10,False
-0.28,0.94,-1.63,-1.64,-0.18,15,110,13.85,-30,-1.04,7.4,5.6,10,70,False
2.77,3.45,2.5,4.46,2.76,4,12,1.15,13,1.68,0.85,0.59,1,12,True
-1.01,-2.13,1.88,-2.1,-1.46,25,60,5.2,100,-0.34,5.4,7.15,10,0,False
3.48,2.7,3.59,2.78,3.59,2,7,1.31,19,0.22,0.99,0.07,1,11,True
-2.22,-0.08,-2.17,-1.89,-2.35,5,95,6.1,-15,0.41,6.5,9.3,10,25,True
2.34,2.21,6.5,7.36,3.11,2,9,0.01,10,1.54,0.73,0.83,1,4,True
4.16,3.58,2.4,3.4,2.24,1,13,1.41,0,2.05,0.95,0.11,1,4,False
2.86,2.29,4.4,2.65,2.81,2,5,1.05,-18,2.56,0.96,0.19,1,5,True
2.34,2.58,4.88,2.95,3.69,4,14,1.91,1,1.22,0.59,0.79,1,1,True
-2.32,-1.67,0.86,-2.95,-1.17,5,230,10.05,-80,0.96,8.8,7.35,10,45,True
3.38,2.58,2.97,5.01,2.96,4,1,0.23,12,0.94,0.34,0.78,1,1,False
-1.82,-2.33,-0.91,-2.59,-1.61,5,260,7.15,-50,2.19,7.3,5.85,10,5,False
-1.52,-1.4,-2.93,-0.99,-0.91,5,275,9.25,-70,1.85,9.3,6.55,10,55,False
-2.67,-1.2,-1.57,-2.76,-0.07,15,240,7.95,-50,0.62,8.2,8.6,10,70,True
4,2.49,3.83,2.15,2.23,4,19,0.6,13,1.52,0.65,0.93,1,5,True
3.27,2.76,3.02,4.66,2.78,0,26,1.47,-6,1.28,0.86,0.01,1,10,False
-2.73,-2.82,-2.01,-2.07,-2.79,15,270,10.05,-5,-0.15,8.85,7.35,10,35,True
2.9,2.5,7.19,2.61,4.27,4,14,1.75,16,0.44,0.29,0.38,1,5,True
2.35,4.28,2.91,3.38,2.6,2,40,0.36,6,1.88,0.92,0.59,1,10,True
-1.76,-2.24,-2.64,-1.63,-0.47,5,145,9.4,-5,-0.15,6.85,10.15,10,60,True
6.49,2.86,2.9,4.02,2.75,4,19,0.2,8,1.22,0.8,0.41,1,12,False
4.93,2.57,4.56,2.54,2.93,1,7,1.79,-0,1.88,0.74,0.46,1,10,False
3.88,3.48,3.07,4.31,4.13,2,2,1.58,-19,0.51,0.54,0.24,1,12,False
-2.67,-2.83,-1.4,-1.21,-3.04,15,265,11.05,-70,1.5,7.45,8.85,10,15,True
1.04,-1.26,-1.54,0.31,0.3,25,85,5.5,65,-1,6.2,8.1,10,65,False
-0.62,1.94,0.46,-0.8,0.64,15,195,14.95,-25,0.29,4.85,7,10,50,False
-0.12,-0.46,-0.39,-0.08,0.54,5,210,12.45,-5,-0.48,5.6,6.2,10,75,False
-0.83,-2.72,-1.97,-2.6,-2.86,5,245,8.45,-30,2.66,8.8,8.3,10,50,True
-2.13,-2.39,0.32,-1.26,-2.38,15,150,5.55,-30,2.03,8.05,7.65,10,20,True
-0.39,-0.33,-0.23,2.87,4.54,5,220,6.85,-45,2.63,5.7,5.85,10,70,False
3.23,2.29,2.78,2.3,2.19,4,32,1.48,16,0.2,0.72,0.88,1,1,True
2.37,2.64,2.6,4.37,4.05,2,6,0.9,20,2.58,0.51,0.61,1,4,True
-0.45,0.01,3.01,0.53,3.26,15,105,12.35,65,-1.23,5.2,6.15,10,35,False
2.51,3.14,2.53,3.38,4.35,4,19,0.8,11,1.79,0.22,1,1,12,False
0.88,-1.46,-0.61,-1.54,-1.28,5,25,8.95,-90,2.64,8.6,5.1,10,75,False
2.26,6.18,2.72,2.42,3.35,2,42,1.79,-9,0.94,1.07,0.6,1,10,True
3.04,2.6,3.8,2.62,2.4,2,16,0.17,11,2.53,0.78,0.06,1,4,False
3.5,4.23,3.36,2.92,2.35,0,9,1.3,-21,1.18,0.71,0.55,1,15,False
0.8,1.6,0.48,2.09,0.2,5,235,7.55,0,0.73,5.1,5.7,10,70,False
2.86,3.13,4.01,3.75,3,4,21,1.49,15,2.51,0.39,0.25,1,15,False
2.43,3.06,3.63,2.66,7.89,2,38,0.58,-10,1.88,0.73,0.95,1,6,True
5.12,2.16,2.47,2.91,2.45,0,3,0.49,-17,1.16,0.89,0.94,1,14,True
0.42,-1.31,-1.91,-2.61,-0.78,25,265,6.95,85,-0.88,7.25,9.35,10,45,True
-0.83,-1.25,-1.65,-1.93,-1.53,25,105,7.9,85,-0.37,5.9,7.4,10,35,False
-2.22,-2.06,-2.45,-1.06,-2.37,5,220,5.7,-85,1.65,7.2,6.55,5,60,False
6.36,3.83,5.11,3.11,4.78,4,22,0.66,10,2.83,0.19,0.69,1,7,False
-0.34,-1.35,0.64,2.56,0.07,15,105,7.35,90,-1.09,6.8,5.4,10,60,False
0.65,-1.16,-0.73,-0.95,-0.3,5,15,10.75,-60,-0.41,7.15,5.05,10,70,False
-2.4,-1.4,-2.51,-2.41,-1.93,15,90,7.35,25,0.79,6.6,7.95,10,30,True
0.78,-1.64,-1.37,-2.1,2.98,15,55,5.9,10,-0.14,6.15,9.05,10,50,True
3.51,3.4,3.64,2.59,2.99,2,7,1.06,-10,0.72,0.42,0.99,1,2,True
0.2,-0.51,-1.81,-0.74,1.07,15,210,5.25,-30,1.96,5.65,8.3,10,55,False
2.41,-0.7,-1.13,-1.35,-1.22,15,285,5.15,-10,1.21,6.15,7.1,10,55,False
3.01,2.36,3.72,6.37,2.63,4,18,0.06,7,1.29,0.91,0.4,1,5,True
-1.42,0.43,-2.66,-2.58,-2.32,15,230,9.85,90,-0.43,5.9,9.8,10,10,True
6.42,3.42,2.87,4.06,3.75,4,20,2,8,1.95,0.22,0.67,1,13,False
2.62,3.08,3.42,3.11,2.93,4,9,1.52,9,1.42,0.18,0.7,1,13,False
2.79,2.81,3.55,3.26,2.66,0,4,1.39,-3,1.2,0.1,0.82,1,11,False
-1.42,-0.44,-1.68,-1.28,-1.47,25,160,7.5,10,2.81,5.1,8.95,10,35,True
0.42,0.28,2.62,0.7,-0.13,5,30,11.05,-55,0.84,5.9,5.15,10,70,False
5.33,2.69,2.62,4.04,3.1,0,11,0.57,-8,1.18,0.8,0.94,1,13,True
0.76,-0.69,-0.84,-0.44,-0.95,25,45,5.9,25,-0.32,5.65,6.1,10,25,False
2.19,2.81,2.49,2.7,2.8,2,54,1.86,17,0.49,0.87,0.8,1,3,True
